Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-26,1.79,1.65,8.48,2023-07-25
2022-06-01,2022-07-26,1.98,1.74,13.79,2023-07-25
2022-09-01,2022-10-25,1.93,1.86,3.76,2023-07-25
2022-12-01,2023-01-26,2.18,2.01,8.46,2023-07-25
2023-03-01,2023-04-25,2.09,1.97,6.09,2023-07-25
2023-06-01,2023-07-25,2.16,2.11,2.37,N/A
