Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-05-26,1.45,0.67,116.42,2023-08-10
2022-06-01,2022-08-04,1.4,0.83,68.67,2023-08-10
2022-09-01,2022-11-17,1.5,1.37,9.49,2023-08-10
2022-12-01,2023-02-23,2.44,1.89,29.1,2023-08-10
2023-03-01,2023-05-18,1.15,0.92,25,2023-08-10
2023-06-01,2023-08-10,2.47,1.66,48.8,N/A
