Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-28,0.21,0.44,-52.27,2023-08-03
2022-06-01,2022-07-28,0.1,0.15,-33.33,2023-08-03
2022-09-01,2022-10-27,0.2,0.22,-9.09,2023-08-03
2022-12-01,2023-02-02,0.21,0.15,40,2023-08-03
2023-03-01,2023-04-27,0.31,0.21,47.62,2023-08-03
2023-06-01,2023-08-03,0.63,0.34,85.29,N/A
