Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-19,2.67,2.6,2.69,2023-07-20
2022-06-01,2022-07-19,2.59,2.57,0.78,2023-07-20
2022-09-01,2022-10-18,2.55,2.49,2.41,2023-07-20
2022-12-01,2023-01-24,2.35,2.22,5.86,2023-07-20
2023-03-01,2023-04-18,2.68,2.51,6.77,2023-07-20
2023-06-01,2023-07-20,2.8,2.61,7.28,N/A
