Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-26,2.22,2.18,1.83,2023-07-25
2022-06-01,2022-07-26,2.23,2.28,-2.19,2023-07-25
2022-09-01,2022-10-25,2.35,2.29,2.62,2023-07-25
2022-12-01,2023-01-24,2.32,2.27,2.2,2023-07-25
2023-03-01,2023-04-25,2.45,2.22,10.36,2023-07-25
2023-06-01,2023-07-25,2.69,2.54,5.91,N/A
