Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-06-01,2022-07-26,1.38,1.21,14.05,2023-07-25
2022-09-01,2022-10-25,1.47,1.34,9.7,2023-07-25
2022-12-01,2023-01-24,1.76,1.49,18.12,2023-07-25
2023-03-01,2023-04-25,2.25,1.82,23.63,2023-07-25
2023-06-01,2023-07-25,2.33,2.14,8.88,N/A
