Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-02-01,2022-03-10,0.94,1,-6,2023-09-11
2022-05-01,2022-06-13,1.31,1.17,11.97,2023-09-11
2022-08-01,2022-09-12,0.81,0.88,-7.95,2023-09-11
2023-02-01,2023-03-09,0.96,0.96,0,2023-09-11
2023-05-01,2023-06-12,1.35,1.31,3.05,2023-09-11
