Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-05-05,2.38,2.12,12.26,2023-07-27
2022-06-01,2022-07-28,3.04,2.91,4.47,2023-07-27
2022-09-01,2022-10-27,2.58,2.68,-3.73,2023-07-27
2022-12-01,2023-02-02,2.76,2.1,31.43,2023-07-27
2023-03-01,2023-05-04,2.78,2.3,20.87,2023-07-27
2023-06-01,2023-07-27,1.5,1.59,-5.66,N/A
