Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2018-03-15,2018-01-25,2018-02-28,2018-03-01,1.01
2018-06-18,2018-05-24,2018-06-01,2018-06-04,1.01
2018-09-18,2018-07-20,2018-08-31,2018-09-04,1.01
2018-12-17,2018-09-21,2018-11-30,2018-12-03,1.16
2019-03-15,2019-01-31,2019-02-28,2019-03-01,1.16
2019-06-17,2019-05-24,2019-05-31,2019-06-03,1.16
2019-09-17,2019-07-19,2019-08-30,2019-09-03,1.16
2019-12-16,2019-09-20,2019-11-29,2019-12-02,1.25
2020-03-16,2020-01-29,2020-02-28,2020-03-02,1.25
2020-06-15,2020-05-22,2020-05-29,2020-06-01,1.25
2020-09-15,2020-07-21,2020-08-31,2020-09-01,1.25
2020-12-15,2020-10-08,2020-11-30,2020-12-01,1.29
2021-03-15,2021-01-21,2021-02-26,2021-03-01,1.29
2021-06-15,2021-05-20,2021-05-28,2021-06-01,1.29
2021-09-15,2021-07-22,2021-08-31,2021-09-01,1.29
2021-12-15,2021-09-23,2021-11-30,2021-12-01,1.38
2022-03-15,2022-01-20,2022-02-28,2022-03-01,1.38
2022-06-20,2022-05-26,2022-06-03,2022-06-06,1.38
2022-09-16,2022-07-28,2022-08-31,2022-09-01,1.38
2022-12-15,2022-10-13,2022-11-30,2022-12-01,1.52
2023-03-15,2023-02-02,2023-02-28,2023-03-01,1.52
2023-06-20,2023-05-25,2023-06-02,2023-06-05,1.52
2023-09-18,2023-07-25,2023-08-31,2023-09-01,1.52
