Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-26,1.29,1.24,4.03,2023-10-11
2022-06-01,2022-07-12,1.86,1.73,7.51,2023-10-11
2022-09-01,2022-10-12,1.97,1.85,6.49,2023-10-11
2022-12-01,2023-02-09,1.67,1.64,1.83,2023-10-11
2023-03-01,2023-04-25,1.5,1.37,9.49,2023-10-11
2023-06-01,2023-07-13,2.09,1.95,7.18,2023-10-11
