Transaction_Date,Type,Ticker,Shares,Price,Investment,Tax_Type
2023-05-31,SELL,AAPL,1.0921,177.3,193.6293,Short-Term
2023-05-31,SELL,PEP,0.9588,182.41,174.8947,Short-Term
2023-05-31,SELL,TMO,0.3664,513.21,188.0401,Short-Term
2023-06-01,BUY,BRK-B,0.5965,321.11,191.5421,--
2023-06-02,BUY,AVGO,0.2425,790.52,191.7011,--
2023-06-02,BUY,CVX,1.2587,154.41,194.3559,--
2023-06-02,SELL,BRK-B,0.5965,324.59,193.6179,Short-Term
2023-06-02,SELL,COST,0.3727,510.38,190.2186,Short-Term
2023-06-02,SELL,META,0.7313,272.61,199.3597,Short-Term
2023-06-05,BUY,BAC,6.6907,28.81,192.7591,--
2023-06-05,BUY,WMT,1.2907,149.5,192.9596,--
2023-06-05,SELL,AMZN,1.578,123.23,194.4569,Short-Term
2023-06-06,BUY,AMZN,1.534,125.05,191.8267,--
2023-06-07,SELL,BABA,2.362,85.8,202.6596,Short-Term
2023-06-07,SELL,BAC,6.6907,29.3,196.0375,Short-Term
2023-06-08,BUY,BABA,2.2617,85.47,193.3075,--
2023-06-08,BUY,BAC,6.5426,29.3,191.6982,--
2023-06-09,SELL,WMT,1.2907,152.17,196.4058,Short-Term
2023-06-09,DIV,PFE,3.507,0.41,1.4379,Qualified
2023-06-09,DIV,XOM,1.2985,0.91,1.1816,Ordinary
2023-06-12,BUY,WMT,1.2615,153.5,193.6403,--
2023-06-13,BUY,META,1.3028,275.0,358.27,--
2023-06-13,SELL,AVGO,0.2425,861.11,208.8192,Short-Term
2023-06-14,BUY,TSLA,1.3675,260.0,355.55,--
2023-06-14,BUY,AVGO,0.4157,855.45,355.6106,--
2023-06-14,BUY,BRK-B,1.0517,337.43,354.8751,--
2023-06-14,SELL,NVDA,0.4911,408.35,200.5407,Short-Term
2023-06-14,SELL,WMT,1.2615,156.0,196.794,Short-Term
2023-06-15,SELL,BRK-B,1.0517,335.91,353.2765,Short-Term
2023-06-16,BUY,PCAR,4.4753,79.27,354.757,--
2023-06-16,SELL,BABA,2.2617,93.82,212.1927,Short-Term
2023-06-20,SELL,PG,1.3408,150.13,201.2943,Short-Term
2023-06-21,BUY,NVDA,0.8104,435.11,352.6131,--
2023-06-21,BUY,TSM,3.4145,103.2,352.3764,--
2023-06-21,BUY,COST,0.6832,518.75,354.41,--
2023-06-21,SELL,AVGO,0.4157,860.0,357.502,Short-Term
2023-06-21,SELL,META,1.3028,283.53,369.3829,Short-Term
2023-06-21,SELL,PCAR,4.4753,77.65,347.507,Short-Term
2023-06-21,SELL,TSLA,1.3675,275.0,376.0625,Short-Term
2023-06-22,BUY,TSLA,1.3724,250.32,343.5392,--
2023-06-23,SELL,BAC,6.5426,27.71,181.2954,Short-Term
2023-06-23,SELL,TSLA,1.3724,259.16,355.6712,Short-Term
2023-06-26,BUY,TSLA,1.388,250.05,347.0694,--
2023-06-26,BUY,BABA,4.194,85.34,357.916,--
2023-06-26,BUY,PG,2.399,147.97,354.98,--
2023-06-26,SELL,COST,0.6832,524.4,358.2701,Short-Term
2023-06-26,DIV,SHEL,2.972,0.575,1.7089,Qualified
2023-06-28,SELL,JPM,1.3234,139.16,184.1643,Short-Term
