Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-08-01,2022-09-15,2.63,2.65,-0.75,2023-09-14
2022-11-01,2022-12-15,2.78,2.78,0,2023-09-14
2023-02-01,2023-03-15,2.97,2.97,0,2023-09-14
2023-05-01,2023-06-15,3.04,3,1.33,2023-09-14
