Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-07-01,2022-08-24,0.52,0.37,40.54,2023-08-30
2022-10-01,2022-11-30,0.73,0.58,25.86,2023-08-30
2023-01-01,2023-03-01,1.01,0.73,38.36,2023-08-30
2023-04-01,2023-05-31,1.15,1.06,8.49,2023-08-30
