Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-06-01,2022-07-29,0.86,0.78,10.26,2023-07-28
2022-09-01,2022-11-10,0.84,0.77,9.09,2023-07-28
2022-12-01,2023-02-09,0.69,0.68,1.47,2023-07-28
2023-03-01,2023-04-27,0.96,0.86,11.63,2023-07-28
2023-06-01,2023-07-28,1.08,0.97,11.34,2023-07-28
