Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-28,2.76,2.17,27.19,2023-07-27
2022-06-01,2022-07-28,2.56,2.36,8.47,2023-07-27
2022-09-01,2022-10-27,2.68,2.57,4.28,2023-07-27
2022-12-01,2023-01-26,2.65,2.56,3.52,2023-07-27
2023-03-01,2023-04-27,2.8,2.71,3.32,2023-07-27
2023-06-01,2023-07-27,2.89,2.84,1.76,N/A
