Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-28,2.62,2.32,12.93,2023-08-08
2022-06-01,2022-08-04,1.25,1.8,-30.56,2023-08-08
2022-09-01,2022-11-01,1.98,1.97,0.51,2023-08-08
2022-12-01,2023-02-02,2.09,1.83,14.21,2023-08-08
2023-03-01,2023-04-27,1.62,1.73,-6.36,2023-08-08
2023-06-01,2023-08-08,2.11,1.98,6.57,N/A
