Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-08-01,2022-09-22,2.6,2.57,1.17,2023-09-28
2022-11-01,2022-12-16,3.08,2.91,5.84,2023-09-28
2023-02-01,2023-03-23,2.69,2.49,8.03,2023-09-28
2023-05-01,2023-06-22,3.19,2.96,7.77,2023-09-28
