Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-04-01,2022-05-26,8.39,7.88,6.47,2023-08-31
2022-07-01,2022-09-01,9.07,8.84,2.6,2023-08-31
2022-10-01,2022-12-08,9.75,9.5,2.63,2023-08-31
2023-01-01,2023-03-02,9.83,9.38,4.8,2023-08-31
2023-04-01,2023-06-01,9.51,9.35,1.71,2023-08-31
