Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-28,1.52,1.43,6.29,2023-08-03
2022-06-01,2022-07-28,1.2,1.14,5.26,2023-08-03
2022-09-01,2022-10-27,1.29,1.26,2.38,2023-08-03
2022-12-01,2023-02-02,1.88,1.93,-2.59,2023-08-03
2023-03-01,2023-05-04,1.52,1.44,5.56,2023-08-03
2023-06-01,2023-08-03,1.26,1.19,5.88,N/A
