Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2019-09-10,2019-08-01,2019-08-12,2019-08-13,0.87
2019-12-10,2019-10-31,2019-11-08,2019-11-12,0.87
2020-03-10,2020-01-29,2020-02-10,2020-02-11,0.87
2020-06-10,2020-04-29,2020-05-12,2020-05-13,0.87
2020-09-10,2020-07-29,2020-08-12,2020-08-13,0.87
2020-12-10,2020-10-28,2020-11-10,2020-11-12,0.87
2021-03-10,2021-01-27,2021-02-09,2021-02-10,0.87
2021-06-10,2021-04-28,2021-05-12,2021-05-13,0.87
2021-09-10,2021-07-28,2021-08-12,2021-08-13,0.87
2021-12-10,2021-10-27,2021-11-10,2021-11-12,0.88
2022-03-10,2022-01-26,2022-02-09,2022-02-10,0.88
2022-06-10,2022-04-27,2022-05-12,2022-05-13,0.88
2022-09-09,2022-07-27,2022-08-11,2022-08-12,0.88
2022-12-09,2022-10-27,2022-11-14,2022-11-15,0.91
2023-03-10,2023-01-31,2023-02-13,2023-02-14,0.91
2023-06-09,2023-04-28,2023-05-15,2023-05-16,0.91
2023-09-11,2023-07-28,2023-08-15,2023-08-16,0.91
