Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-06-01,2022-08-04,4.14,3.77,9.81,2023-08-01
2022-09-01,2022-11-01,2.3,3.08,-25.32,2023-08-01
2022-12-01,2023-02-09,3.78,3.66,3.28,2023-08-01
2023-03-01,2023-05-10,3.07,2.83,8.48,2023-08-01
2023-06-01,2023-08-01,7.05,3.92,79.85,N/A
