Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-18,0.8,0.76,5.26,2023-07-18
2022-06-01,2022-07-18,0.73,0.77,-5.19,2023-07-18
2022-09-01,2022-10-17,0.81,0.79,2.53,2023-07-18
2022-12-01,2023-01-13,0.85,0.76,11.84,2023-07-18
2023-03-01,2023-04-18,0.94,0.79,18.99,2023-07-18
2023-06-01,2023-07-18,0.88,0.84,4.76,N/A
