Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-04-01,2022-05-18,0.78,0.77,1.3,2023-08-16
2022-07-01,2022-08-17,0.74,0.73,1.37,2023-08-16
2022-10-01,2022-11-16,0.77,0.73,5.48,2023-08-16
2023-01-01,2023-02-15,0.76,0.76,0,2023-08-16
2023-04-01,2023-05-17,0.88,0.87,1.15,2023-08-16
2023-07-01,2023-08-16,1.01,0.95,6.32,N/A
