Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-20,1.33,1.28,3.91,2023-07-28
2022-06-01,2022-07-29,1.21,1.23,-1.63,2023-07-28
2022-09-01,2022-10-19,1.57,1.55,1.29,2023-07-28
2022-12-01,2023-01-19,1.59,1.58,0.63,2023-07-28
2023-03-01,2023-04-21,1.37,1.32,3.79,2023-07-28
2023-06-01,2023-07-28,1.37,1.32,3.79,2023-07-28
