Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-04-01,2022-05-17,4.09,3.67,11.44,2023-08-15
2022-07-01,2022-08-16,5.05,4.95,2.02,2023-08-15
2022-10-01,2022-11-15,4.24,4.11,3.16,2023-08-15
2023-01-01,2023-02-21,3.3,3.26,1.23,2023-08-15
2023-04-01,2023-05-16,3.82,3.8,0.53,2023-08-15
2023-07-01,2023-08-15,4.65,4.46,4.26,N/A
