Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-05-03,1.62,1.66,-2.41,2023-08-01
2022-06-01,2022-07-28,2.04,1.75,16.57,2023-08-01
2022-09-01,2022-11-01,1.78,1.47,21.09,2023-08-01
2022-12-01,2023-01-31,1.14,1.03,10.68,2023-08-01
2023-03-01,2023-05-02,1.23,1,23,2023-08-01
2023-06-01,2023-08-01,0.67,0.56,19.64,N/A
