Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2003-03-11,2003-01-06,2003-02-13,2003-02-18,0.205
2003-06-10,2003-04-24,2003-05-16,2003-05-20,0.24
2003-09-09,2003-07-22,2003-08-15,2003-08-19,0.24
2003-12-09,2003-10-16,2003-11-14,2003-11-18,0.24
2004-03-09,2004-01-05,2004-02-12,2004-02-17,0.24
2004-06-08,2004-04-22,2004-05-14,2004-05-18,0.285
2004-09-07,2004-07-20,2004-08-13,2004-08-17,0.285
2004-12-07,2004-10-22,2004-11-12,2004-11-16,0.285
2005-03-08,2005-01-04,2005-02-11,2005-02-15,0.285
2005-06-07,2005-04-28,2005-05-13,2005-05-17,0.33
2005-09-13,2005-07-18,2005-08-19,2005-08-23,0.33
2005-12-13,2005-10-20,2005-11-18,2005-11-22,0.33
2006-06-13,2006-04-27,2006-05-25,2006-05-30,0.375
2006-09-12,2006-07-18,2006-08-25,2006-08-29,0.375
2006-12-12,2006-10-19,2006-11-24,2006-11-28,0.375
2007-03-13,2007-01-03,2007-02-23,2007-02-27,0.375
2007-06-12,2007-04-26,2007-05-24,2007-05-29,0.415
2007-09-11,2007-07-16,2007-08-24,2007-08-28,0.415
2007-12-11,2007-10-18,2007-11-23,2007-11-27,0.415
2008-03-11,2008-01-02,2008-02-22,2008-02-26,0.415
2008-06-10,2008-04-24,2008-05-22,2008-05-27,0.46
2008-09-09,2008-07-21,2008-08-22,2008-08-26,0.46
2008-12-09,2008-10-16,2008-11-21,2008-11-25,0.46
2009-03-10,2009-01-05,2009-02-20,2009-02-24,0.46
2009-06-09,2009-04-23,2009-05-21,2009-05-26,0.49
2009-09-08,2009-07-20,2009-08-21,2009-08-25,0.49
2009-12-08,2009-10-22,2009-11-20,2009-11-24,0.49
2010-03-09,2010-01-04,2010-02-19,2010-02-23,0.49
2010-06-15,2010-04-22,2010-05-27,2010-06-01,0.54
2010-09-14,2010-07-19,2010-08-27,2010-08-31,0.54
2010-12-14,2010-10-21,2010-11-26,2010-11-30,0.54
2011-03-15,2011-01-03,2011-02-25,2011-03-01,0.54
2011-06-14,2011-04-28,2011-05-26,2011-05-31,0.57
2011-09-13,2011-07-18,2011-08-26,2011-08-30,0.57
2011-12-13,2011-10-21,2011-11-25,2011-11-29,0.57
2012-03-13,2012-01-03,2012-02-24,2012-02-28,0.57
2012-06-12,2012-04-26,2012-05-24,2012-05-29,0.61
2012-09-11,2012-07-16,2012-08-24,2012-08-28,0.61
2012-12-11,2012-10-17,2012-11-23,2012-11-27,0.61
2013-03-12,2013-01-02,2013-02-22,2013-02-26,0.61
2013-06-11,2013-04-25,2013-05-23,2013-05-28,0.66
2013-09-10,2013-07-15,2013-08-23,2013-08-27,0.66
2013-12-10,2013-10-17,2013-11-22,2013-11-26,0.66
2014-03-11,2014-01-02,2014-02-21,2014-02-25,0.66
2014-06-10,2014-04-24,2014-05-22,2014-05-27,0.70
2014-09-09,2014-07-21,2014-08-22,2014-08-26,0.70
2014-12-09,2014-10-16,2014-11-21,2014-11-25,0.70
2015-03-10,2015-01-05,2015-02-20,2015-02-24,0.70
2015-06-09,2015-04-23,2015-05-21,2015-05-26,0.75
