Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-04-01,2022-05-17,1.3,1.46,-10.96,2023-08-17
2022-07-01,2022-08-16,1.77,1.6,10.62,2023-08-17
2022-10-01,2022-11-15,1.5,1.32,13.64,2023-08-17
2023-01-01,2023-02-21,1.71,1.52,12.5,2023-08-17
2023-04-01,2023-05-18,1.47,1.32,11.36,2023-08-17
