Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-27,2.72,2.54,7.09,2023-07-26
2022-06-01,2022-07-27,2.46,2.5,-1.6,2023-07-26
2022-09-01,2022-10-26,1.64,1.88,-12.77,2023-07-26
2022-12-01,2023-02-01,3.0,2.12,41.51,2023-07-26
2023-03-01,2023-04-26,2.64,1.96,34.69,2023-07-26
2023-06-01,2023-07-26,3.23,2.87,12.54,N/A
