Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-29,3.16,3.15,0.32,2023-07-27
2022-06-01,2022-07-29,3.51,3.42,2.63,2023-07-27
2022-09-01,2022-10-28,3.66,3.56,2.81,2023-07-27
2022-12-01,2023-02-09,3.6,3.54,1.69,2023-07-27
2023-03-01,2023-04-27,2.46,2.44,0.82,2023-07-27
2023-06-01,2023-07-27,2.91,2.79,4.3,N/A
