Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-14,5.49,5.4,1.67,2023-07-14
2022-06-01,2022-07-15,5.57,5.24,6.3,2023-07-14
2022-09-01,2022-10-14,5.79,5.45,6.24,2023-07-14
2022-12-01,2023-01-13,5.34,5.17,3.29,2023-07-14
2023-03-01,2023-04-14,6.26,6.24,0.32,2023-07-14
2023-06-01,2023-07-14,6.14,5.92,3.72,N/A
