Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-25,0.64,0.58,10.34,2023-07-26
2022-06-01,2022-07-26,0.7,0.67,4.48,2023-07-26
2022-09-01,2022-10-25,0.69,0.64,7.81,2023-07-26
2022-12-01,2023-02-14,0.45,0.45,0,2023-07-26
2023-03-01,2023-04-24,0.68,0.65,4.62,2023-07-26
2023-06-01,2023-07-26,0.78,0.72,8.33,N/A
