Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-06-01,2022-07-26,2.55,2.45,4.08,2023-07-27
2022-09-01,2022-10-27,2.68,2.57,4.28,2023-07-27
2022-12-01,2023-01-31,2.59,2.46,5.28,2023-07-27
2023-03-01,2023-04-25,2.63,2.31,13.85,2023-07-27
2023-06-01,2023-07-27,3.17,2.77,14.44,N/A
