Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-29,3.36,3.44,-2.33,2023-07-28
2022-06-01,2022-07-29,5.82,5.02,15.94,2023-07-28
2022-09-01,2022-10-28,5.56,5.02,10.76,2023-07-28
2022-12-01,2023-01-27,4.09,4.16,-1.68,2023-07-28
2023-03-01,2023-04-28,3.55,3.36,5.65,2023-07-28
2023-06-01,2023-07-28,3.08,2.95,4.41,2023-07-28
