Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-29,2.07,2.25,-8,2023-07-28
2022-06-01,2022-07-29,4.14,3.8,8.95,2023-07-28
2022-09-01,2022-10-28,4.45,3.88,14.69,2023-07-28
2022-12-01,2023-01-31,3.4,3.32,2.41,2023-07-28
2023-03-01,2023-04-28,2.83,2.65,6.79,2023-07-28
2023-06-01,2023-07-28,1.94,2,-3,2023-07-28
