Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2009-02-17,2009-01-13,2009-01-21,2009-01-23,0.40
2009-05-15,2009-04-13,2009-04-22,2009-04-24,0.44
2009-08-17,2009-07-13,2009-07-22,2009-07-24,0.44
2009-11-16,2009-10-13,2009-10-21,2009-10-23,0.44
2010-02-16,2010-01-12,2010-01-20,2010-01-22,0.44
2010-05-17,2010-04-19,2010-04-28,2010-04-30,0.4818
2010-08-16,2010-07-13,2010-07-21,2010-07-23,0.4818
2010-11-15,2010-10-12,2010-10-20,2010-10-22,0.4818
2011-02-15,2011-01-11,2011-01-19,2011-01-21,0.4818
2011-05-16,2011-04-11,2011-04-27,2011-04-29,0.525
2011-08-15,2011-07-12,2011-07-20,2011-07-22,0.525
2011-11-15,2011-10-11,2011-10-19,2011-10-21,0.525
2012-02-15,2012-01-10,2012-01-18,2012-01-20,0.525
2012-08-15,2012-07-10,2012-07-18,2012-07-20,0.562
2012-11-15,2012-10-09,2012-10-17,2012-10-19,0.562
2013-02-15,2013-01-08,2013-01-16,2013-01-18,0.562
2013-05-15,2013-04-15,2013-04-24,2013-04-26,0.6015
2013-08-15,2013-07-09,2013-07-17,2013-07-19,0.6015
2013-11-15,2013-10-08,2013-10-16,2013-10-18,0.6015
2014-02-18,2014-01-14,2014-01-22,2014-01-24,0.6015
2014-05-15,2014-04-07,2014-04-23,2014-04-25,0.6436
2014-08-15,2014-07-08,2014-07-16,2014-07-18,0.6436
2014-11-17,2014-10-14,2014-10-22,2014-10-24,0.6436
2015-02-17,2015-01-13,2015-01-21,2015-01-23,0.6436
2015-05-15,2015-04-17,2015-04-23,2015-04-27,0.6629
2015-08-14,2015-07-14,2015-07-22,2015-07-24,0.6629
2015-11-16,2015-10-13,2015-10-21,2015-10-23,0.6629
2016-02-16,2016-01-12,2016-01-20,2016-01-22,0.6629
2016-05-16,2016-04-08,2016-04-14,2016-04-18,0.6695
2016-08-15,2016-07-12,2016-07-20,2016-07-22,0.6695
2016-11-15,2016-10-11,2016-10-19,2016-10-21,0.6695
2017-02-15,2017-01-10,2017-01-18,2017-01-20,0.6695
