Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-05-01,2022-05-26,3.17,3,5.67,2023-09-26
2022-08-01,2022-09-22,4.2,4.12,1.94,2023-09-26
2022-11-01,2022-12-08,3.1,3.14,-1.27,2023-09-26
2023-02-01,2023-03-02,3.3,3.2,3.12,2023-09-26
2023-05-01,2023-05-25,3.43,3.32,3.31,2023-09-26
