Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-29,0.94,0.85,10.59,2023-08-16
2022-06-01,2022-08-03,0.84,0.87,-3.45,2023-08-16
2022-09-01,2022-11-02,0.86,0.84,2.38,2023-08-16
2022-12-01,2023-02-01,0.83,0.81,2.47,2023-08-16
2023-03-01,2023-05-04,1.27,1.27,0,2023-08-16
2023-06-01,2023-08-10,1.26,1.34,-5.97,N/A
