Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-06-01,2022-07-19,1.56,1.51,3.31,2023-07-18
2022-09-01,2022-10-25,1.58,1.57,0.64,2023-07-18
2022-12-01,2023-02-01,1.51,1.42,6.34,2023-07-18
2023-03-01,2023-04-25,1.71,1.55,10.32,2023-07-18
2023-06-01,2023-07-18,1.83,1.68,8.93,N/A
