Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2020-07-07,2020-05-26,2020-06-12,2020-06-15,0.61
2020-10-07,2020-07-28,2020-09-14,2020-09-15,0.61
2021-01-08,2020-11-17,2020-12-14,2020-12-15,0.65
2021-04-07,2021-01-26,2021-03-12,2021-03-15,0.65
2021-07-07,2021-05-25,2021-06-14,2021-06-15,0.65
2021-10-07,2021-07-27,2021-09-14,2021-09-15,0.65
2022-01-07,2021-11-30,2021-12-14,2021-12-15,0.69
2022-04-07,2022-01-25,2022-03-14,2022-03-15,0.69
2022-07-08,2022-05-24,2022-06-14,2022-06-15,0.69
2022-10-07,2022-07-26,2022-09-14,2022-09-15,0.69
2023-01-09,2022-11-29,2022-12-14,2022-12-15,0.73
2023-04-10,2023-01-24,2023-03-14,2023-03-15,0.73
2023-07-10,2023-05-23,2023-06-14,2023-06-15,0.73
2023-10-06,2023-07-25,2023-09-14,2023-09-15,0.73
