Payment_Date,Declaration_Date,Ex_Date,Record_Date,Cash_Amount
2020-06-10,2020-05-04,2020-05-14,2020-05-15,0.74
2020-09-10,2020-07-15,2020-08-13,2020-08-14,0.74
2020-12-10,2020-10-19,2020-11-12,2020-11-13,0.74
2021-03-10,2020-12-14,2021-02-11,2021-02-12,0.85
2021-06-10,2021-05-03,2021-05-13,2021-05-14,0.85
2021-09-10,2021-06-29,2021-08-12,2021-08-13,0.85
2021-12-10,2021-10-18,2021-11-12,2021-11-15,0.85
2022-03-10,2021-12-13,2022-02-14,2022-02-15,0.98
2022-06-10,2022-05-02,2022-05-13,2022-05-16,0.98
2022-09-09,2022-06-27,2022-08-12,2022-08-15,0.98
2022-12-09,2022-10-17,2022-11-14,2022-11-15,0.98
2023-03-10,2022-12-12,2023-02-14,2023-02-15,1.13
2023-06-09,2023-05-01,2023-05-12,2023-05-15,1.13
2023-09-08,2023-06-26,2023-08-14,2023-08-15,1.13
