Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-26,1.23,1.28,-3.91,2023-07-25
2022-06-01,2022-07-26,1.21,1.27,-4.72,2023-07-25
2022-09-01,2022-10-25,1.06,1.25,-15.2,2023-07-25
2022-12-01,2023-02-02,1.05,1.14,-7.89,2023-07-25
2023-03-01,2023-04-25,1.17,1.06,10.38,2023-07-25
2023-06-01,2023-07-25,1.44,1.32,9.09,N/A
