Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-14,1.4,1.31,6.87,2023-07-20
2022-06-01,2022-07-14,1.55,1.5,3.33,2023-07-20
2022-09-01,2022-10-13,1.79,1.69,5.92,2023-07-20
2022-12-01,2023-01-12,1.82,1.8,1.11,2023-07-20
2023-03-01,2023-04-20,1.31,1.21,8.26,2023-07-20
2023-06-01,2023-07-20,1.14,1.07,6.54,N/A
