Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-04-01,2022-05-25,1.18,1.09,8.26,2023-08-23
2022-07-01,2022-08-24,0.32,0.33,-3.03,2023-08-23
2022-10-01,2022-11-16,0.34,0.44,-22.73,2023-08-23
2023-01-01,2023-02-22,0.65,0.48,35.42,2023-08-23
2023-04-01,2023-05-24,0.88,0.61,44.26,2023-08-23
