Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-28,7.25,6.17,17.5,2023-07-26
2022-06-01,2022-07-28,5.51,4.92,11.99,2023-07-26
2022-09-01,2022-10-26,5.08,4.78,6.28,2023-07-26
2022-12-01,2023-02-01,5.4,5.19,4.05,2023-07-26
2023-03-01,2023-04-26,5.03,4.95,1.62,2023-07-26
2023-06-01,2023-07-26,5.15,5.43,-5.16,N/A
