Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-13,2.63,2.73,-3.66,2023-07-14
2022-06-01,2022-07-14,2.76,2.85,-3.16,2023-07-14
2022-09-01,2022-10-14,3.12,2.96,5.41,2023-07-14
2022-12-01,2023-01-13,3.57,3.11,14.79,2023-07-14
2023-03-01,2023-04-14,4.1,3.41,20.23,2023-07-14
2023-06-01,2023-07-14,4.37,3.62,20.72,N/A
