Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-06-01,2022-07-27,0.2,0.12,66.67,2023-07-26
2022-09-01,2022-10-26,0.5,0.41,21.95,2023-07-26
2022-12-01,2023-01-25,0.88,0.6,46.67,2023-07-26
2023-03-01,2023-04-26,0.84,0.47,78.72,2023-07-26
2023-06-01,2023-07-26,0.77,0.43,79.07,N/A
