Fiscal_Quarter_End,Date_Reported,Earnings_Per_Share,Earnings_Per_Share_Forecast,Percent_Surprise,Next_Announcement_Date
2022-03-01,2022-04-20,0.95,0.55,72.73,2023-07-19
2022-06-01,2022-07-20,0.65,0.56,16.07,2023-07-19
2022-09-01,2022-10-19,0.95,0.87,9.2,2023-07-19
2022-12-01,2023-01-25,1.07,0.98,9.18,2023-07-19
2023-03-01,2023-04-19,0.73,0.74,-1.35,2023-07-19
2023-06-01,2023-07-19,0.78,0.69,13.04,N/A
